league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
ENG-Premier League,2023-24,West Ham,Edson Álvarez,MEX,MF,25,1997,26.4,1599,150,565,854,201,16,1599,42,27,64.3,14,33.3,890,5147,2227,20,27,1,38,30,948,26
ENG-Premier League,2023-24,West Ham,Emerson Palmieri,ITA,DF,28,1994,34.9,2168,168,679,988,521,39,2168,64,24,37.5,32,50.0,1057,5492,2790,59,47,9,36,17,1242,124
ENG-Premier League,2023-24,West Ham,George Earthy,ENG,FW,18,2004,0.4,18,0,3,7,8,1,18,0,0,,0,,13,48,13,0,1,0,0,0,15,3
ENG-Premier League,2023-24,West Ham,James Ward-Prowse,ENG,MF,28,1994,33.3,1923,76,375,1001,558,32,1920,21,11,52.4,7,33.3,911,3951,1606,18,26,6,15,11,1155,63
ENG-Premier League,2023-24,West Ham,Jarrod Bowen,ENG,FW,26,1996,33.5,1094,20,135,410,571,174,1094,97,34,35.1,55,56.7,666,4859,2141,90,40,49,79,58,745,186
ENG-Premier League,2023-24,West Ham,Kaelan Casey,ENG,DF,18,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,West Ham,Kalvin Phillips,ENG,MF,27,1995,3.4,215,7,43,153,21,1,215,5,1,20.0,4,80.0,110,585,240,3,1,0,4,3,136,4
ENG-Premier League,2023-24,West Ham,Konstantinos Mavropanos,GRE,DF,25,1997,16.7,821,117,421,372,34,19,821,6,2,33.3,2,33.3,393,2338,1349,10,1,1,7,0,419,2
ENG-Premier League,2023-24,West Ham,Kurt Zouma,FRA,DF,28,1994,31.5,1455,275,798,626,34,28,1455,3,2,66.7,1,33.3,794,3751,2019,7,5,1,13,3,873,1
ENG-Premier League,2023-24,West Ham,Lucas Paquetá,BRA,"FW,MF",25,1997,29.1,1845,42,319,1018,533,63,1843,77,41,53.2,29,37.7,1103,4489,1771,34,40,12,72,81,1350,116
ENG-Premier League,2023-24,West Ham,Maxwel Cornet,CIV,"MF,FW",26,1996,1.2,68,1,12,22,35,8,68,2,0,0.0,1,50.0,34,280,84,3,2,2,1,3,41,8
ENG-Premier League,2023-24,West Ham,Michail Antonio,JAM,FW,33,1990,18.8,527,7,49,226,259,59,527,62,29,46.8,26,41.9,345,2320,1084,48,17,19,69,39,398,104
ENG-Premier League,2023-24,West Ham,Mohammed Kudus,GHA,"FW,MF",22,2000,27.6,1311,20,193,582,590,102,1311,221,124,56.1,77,34.8,904,6874,3225,117,62,40,80,93,936,216
ENG-Premier League,2023-24,West Ham,Nayef Aguerd,MAR,DF,27,1996,20.6,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3
ENG-Premier League,2023-24,West Ham,Pablo Fornals,ESP,"MF,FW",27,1996,4.7,277,7,53,128,98,20,277,12,6,50.0,5,41.7,156,645,256,4,7,2,8,8,176,27
ENG-Premier League,2023-24,West Ham,Saïd Benrahma,ALG,"FW,MF",27,1995,6.9,355,11,65,128,168,35,354,38,14,36.8,21,55.3,238,1687,790,28,17,15,14,8,245,70
ENG-Premier League,2023-24,West Ham,Thilo Kehrer,GER,"DF,MF",26,1996,0.2,12,2,2,8,2,0,12,0,0,,0,,3,15,5,0,0,0,0,0,6,1
ENG-Premier League,2023-24,West Ham,Tomáš Souček,CZE,MF,28,1995,31.9,1340,186,456,653,234,72,1340,11,4,36.4,7,63.6,533,1869,596,7,13,2,20,12,677,39
ENG-Premier League,2023-24,West Ham,Vladimír Coufal,CZE,DF,30,1992,34.8,2025,163,728,814,501,26,2025,38,12,31.6,19,50.0,885,4956,2431,68,35,4,28,13,1010,126
ENG-Premier League,2023-24,West Ham,Łukasz Fabiański,POL,GK,38,1985,8.0,260,222,255,5,0,0,260,0,0,,0,,140,822,585,0,0,0,0,0,94,0
ENG-Premier League,2023-24,Wolves,Boubacar Traoré,MLI,MF,21,2001,9.1,556,17,128,346,89,3,556,15,10,66.7,4,26.7,283,1417,567,9,14,1,13,17,363,15
ENG-Premier League,2023-24,Wolves,Craig Dawson,ENG,DF,33,1990,24.5,1529,292,889,592,54,34,1529,3,3,100.0,0,0.0,896,4227,1932,1,7,0,5,2,997,4
ENG-Premier League,2023-24,Wolves,Daniel Bentley,ENG,GK,30,1993,4.3,151,120,149,2,0,0,151,0,0,,0,,66,318,181,0,0,0,0,0,76,0
ENG-Premier League,2023-24,Wolves,Enso Gonzalez,PAR,"MF,DF",18,2005,0.0,7,0,0,4,3,0,7,0,0,,0,,4,35,3,0,1,0,1,0,7,2
ENG-Premier League,2023-24,Wolves,Fábio Silva,POR,FW,21,2002,2.9,118,4,24,55,44,12,118,8,2,25.0,5,62.5,66,437,186,5,5,1,12,4,69,13
ENG-Premier League,2023-24,Wolves,Hugo Bueno,ESP,"DF,MF",20,2002,8.2,517,33,180,208,130,9,517,23,8,34.8,11,47.8,266,1575,785,22,9,2,7,14,306,40
ENG-Premier League,2023-24,Wolves,Hwang Hee-chan,KOR,"FW,MF",27,1996,23.5,777,13,100,345,344,103,776,69,36,52.2,30,43.5,478,2586,999,37,21,24,55,31,564,120
ENG-Premier League,2023-24,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",25,1998,10.6,478,25,86,201,199,30,478,39,17,43.6,17,43.6,268,1850,880,30,28,5,25,19,302,49
ENG-Premier League,2023-24,Wolves,Jonny Castro,ESP,MF,29,1994,0.1,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Wolves,José Sá,POR,GK,30,1993,33.7,1198,1049,1189,8,1,0,1198,3,3,100.0,0,0.0,677,4662,3131,0,1,1,1,1,481,0
ENG-Premier League,2023-24,Wolves,João Gomes,BRA,MF,22,2001,29.4,1626,66,433,859,352,35,1626,55,26,47.3,23,41.8,805,3929,1772,28,22,6,42,44,1011,44
ENG-Premier League,2023-24,Wolves,Leon Chiwome,ENG,FW,17,2006,1.9,39,3,5,25,10,4,39,0,0,,0,,16,86,50,1,0,1,3,2,18,7
ENG-Premier League,2023-24,Wolves,Mario Lemina,GAB,MF,29,1993,33.0,1817,130,557,980,308,51,1817,46,25,54.3,19,41.3,932,4902,2281,32,31,3,33,22,1203,49
ENG-Premier League,2023-24,Wolves,Matheus Cunha,BRA,"FW,MF",24,1999,27.1,1220,30,169,611,474,121,1219,140,64,45.7,61,43.6,718,5683,3203,107,79,38,80,53,885,139
ENG-Premier League,2023-24,Wolves,Matheus Nunes,POR,MF,24,1998,2.0,131,4,30,66,40,6,131,17,11,64.7,4,23.5,93,634,336,7,6,3,3,4,95,9
ENG-Premier League,2023-24,Wolves,Matt Doherty,IRL,"DF,MF",31,1992,12.8,811,60,274,336,205,31,811,14,6,42.9,7,50.0,325,1293,597,12,8,3,17,6,481,64
ENG-Premier League,2023-24,Wolves,Max Kilman,ENG,DF,26,1997,38.0,2706,451,1478,1110,133,30,2706,16,10,62.5,3,18.8,1582,7276,4107,22,17,1,8,10,1877,5
ENG-Premier League,2023-24,Wolves,Nathan Fraser,IRL,FW,18,2005,2.1,62,4,10,28,25,5,62,0,0,,0,,32,88,22,1,1,1,4,2,39,21
ENG-Premier League,2023-24,Wolves,Nélson Semedo,POR,"DF,MF",29,1993,34.3,2233,136,743,993,528,37,2233,90,51,56.7,29,32.2,1237,7650,4324,103,63,14,57,36,1376,150
ENG-Premier League,2023-24,Wolves,Pablo Sarabia,ESP,"MF,FW",31,1992,19.4,1172,13,137,552,495,55,1170,43,17,39.5,22,51.2,687,3304,1501,41,52,9,41,23,822,137
ENG-Premier League,2023-24,Wolves,Pedro Neto,POR,"FW,MF",23,2000,16.8,904,4,63,358,505,83,904,88,37,42.0,42,47.7,581,4915,2615,98,65,42,44,20,683,149
ENG-Premier League,2023-24,Wolves,Rayan Aït-Nouri,ALG,"DF,MF",22,2001,25.9,1523,56,406,699,446,49,1523,115,62,53.9,39,33.9,868,4898,2435,67,48,8,51,56,1007,99
ENG-Premier League,2023-24,Wolves,Santiago Bueno,URU,DF,24,1998,9.1,566,77,301,250,18,1,566,1,1,100.0,0,0.0,330,1726,988,3,5,0,1,2,400,2
ENG-Premier League,2023-24,Wolves,Sasa Kalajdzic,AUT,FW,26,1997,1.8,88,5,20,44,24,7,88,1,1,100.0,0,0.0,46,143,48,1,1,0,2,5,68,9
ENG-Premier League,2023-24,Wolves,Tawanda Chirewa,ZIM,"MF,FW",19,2003,1.6,86,2,17,44,26,5,86,3,1,33.3,2,66.7,49,189,55,1,2,1,7,3,62,8
ENG-Premier League,2023-24,Wolves,Tommy Doyle,ENG,MF,21,2001,13.6,1061,40,265,620,182,6,1061,3,1,33.3,1,33.3,637,3091,1408,21,17,2,7,7,766,17
ENG-Premier League,2023-24,Wolves,Toti Gomes,POR,DF,24,1999,30.8,2109,188,1020,927,169,22,2109,31,23,74.2,5,16.1,1113,4427,2325,22,16,2,17,6,1394,11
ESP-La Liga,2023-24,Alavés,Abdel Abqar,MAR,DF,24,1999,25.7,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1
ESP-La Liga,2023-24,Alavés,Abderrahman Rebbach,ALG,"FW,MF",24,1998,8.0,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78
ESP-La Liga,2023-24,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,10.5,497,76,277,204,18,6,497,3,2,66.7,0,0.0,247,1442,794,6,4,0,3,2,264,1
ESP-La Liga,2023-24,Alavés,Alex Sola,ESP,"FW,MF",24,1999,14.0,630,12,110,218,316,48,630,75,43,57.3,27,36.0,327,2390,1300,40,24,12,31,17,372,103
ESP-La Liga,2023-24,Alavés,Ander Guevara,ESP,MF,26,1997,32.6,1735,75,409,1029,320,16,1735,32,19,59.4,10,31.3,840,4759,2604,53,43,3,29,24,1089,37
ESP-La Liga,2023-24,Alavés,Andoni Gorosabel,ESP,DF,26,1996,31.7,1624,89,489,683,466,40,1624,49,25,51.0,17,34.7,653,3230,1890,58,37,8,35,29,793,121
ESP-La Liga,2023-24,Alavés,Antonio Blanco,ESP,MF,23,2000,27.0,1283,64,339,740,224,18,1283,33,19,57.6,8,24.2,620,2633,1271,20,15,3,19,22,762,22
ESP-La Liga,2023-24,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,1185,922,1157,28,0,0,1185,0,0,,0,,520,3386,2069,0,0,0,3,0,383,0
ESP-La Liga,2023-24,Alavés,Carlos Benavídez,URU,MF,25,1998,12.6,628,35,173,348,113,11,628,4,2,50.0,2,50.0,222,1090,508,9,10,1,11,5,286,5
ESP-La Liga,2023-24,Alavés,Carlos Vicente,ESP,FW,24,1999,12.4,499,7,63,172,268,41,499,39,15,38.5,23,59.0,221,1250,541,23,8,10,39,11,298,82
ESP-La Liga,2023-24,Alavés,Eneko Ortiz,ESP,DF,20,2003,0.2,4,0,0,2,2,0,4,0,0,,0,,2,22,17,1,1,0,0,0,2,1
ESP-La Liga,2023-24,Alavés,Giuliano Simeone,ARG,FW,20,2002,7.0,254,5,43,80,137,27,253,22,9,40.9,12,54.5,137,907,513,25,8,5,15,9,159,47
ESP-La Liga,2023-24,Alavés,Ianis Hagi,ROU,"MF,FW",24,1998,8.9,405,2,32,162,222,25,404,27,14,51.9,8,29.6,224,1175,576,17,13,2,13,13,249,58
ESP-La Liga,2023-24,Alavés,Javi López,ESP,DF,21,2002,26.5,1407,89,441,582,404,45,1407,74,41,55.4,28,37.8,631,4017,1896,53,44,11,40,20,720,120
ESP-La Liga,2023-24,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,130,95,127,3,0,0,130,0,0,,0,,64,369,279,0,0,0,0,0,41,0
ESP-La Liga,2023-24,Alavés,Joaquín Panichelli,ARG,"FW,MF",20,2002,2.5,81,6,13,37,32,7,81,1,0,0.0,0,0.0,36,165,76,3,0,1,14,7,61,10
ESP-La Liga,2023-24,Alavés,Jon Guridi,ESP,MF,28,1995,29.8,1075,32,172,584,333,74,1075,38,14,36.8,21,55.3,536,2805,1392,30,25,3,36,28,700,92
ESP-La Liga,2023-24,Alavés,Jon Karrikaburu,ESP,"MF,FW",20,2002,0.2,8,0,0,5,3,1,8,0,0,,0,,6,20,0,0,0,0,2,0,6,1
ESP-La Liga,2023-24,Alavés,Kiké,ESP,"FW,MF",33,1989,15.8,517,18,51,199,280,108,516,33,15,45.5,14,42.4,300,1319,472,18,10,12,56,21,392,97
ESP-La Liga,2023-24,Alavés,Luis Rioja,ESP,"FW,MF",29,1993,27.8,1123,24,150,382,619,62,1119,71,41,57.7,23,32.4,611,4030,2161,70,51,18,56,20,720,173
ESP-La Liga,2023-24,Alavés,Mamadou Sylla,SEN,"FW,MF",29,1994,0.2,13,1,3,6,4,0,13,1,0,0.0,1,100.0,6,25,10,0,0,0,1,1,8,1
ESP-La Liga,2023-24,Alavés,Miguel,ESP,"FW,MF",23,1999,0.7,22,0,1,12,9,3,22,0,0,,0,,9,42,25,1,0,1,2,4,14,3
ESP-La Liga,2023-24,Alavés,Nahuel Tenaglia,ARG,DF,27,1996,12.7,604,84,275,251,85,13,604,14,7,50.0,2,14.3,247,1662,1020,17,10,1,6,5,268,24
ESP-La Liga,2023-24,Alavés,Rafa Marín,ESP,DF,21,2002,27.1,1303,220,711,555,45,25,1303,5,3,60.0,1,20.0,628,3485,2110,13,5,0,11,4,696,6
ESP-La Liga,2023-24,Alavés,Rubén Duarte,ESP,DF,27,1995,20.9,1024,88,405,429,197,12,1024,5,3,60.0,1,20.0,395,1913,981,16,15,2,10,4,468,39
ESP-La Liga,2023-24,Alavés,Samu Omorodion,ESP,FW,19,2004,21.3,600,18,38,289,282,107,600,57,22,38.6,33,57.9,344,1689,668,30,17,24,89,36,434,100
ESP-La Liga,2023-24,Alavés,Tomás Mendes,ESP,MF,18,2004,0.1,7,0,1,4,2,0,7,0,0,,0,,6,20,1,0,1,0,0,1,5,0
ESP-La Liga,2023-24,Alavés,Unai Ropero,ESP,MF,21,2001,0.1,7,0,1,1,5,1,7,2,0,0.0,2,100.0,3,9,6,0,0,0,0,0,3,0
ESP-La Liga,2023-24,Alavés,Victor Parada,ESP,"FW,MF",21,2002,0.0,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,1,0,1,0
ESP-La Liga,2023-24,Alavés,Xeber,ESP,"FW,MF",26,1997,3.4,137,3,25,33,80,17,137,7,3,42.9,4,57.1,66,316,133,6,2,3,7,3,83,30
ESP-La Liga,2023-24,Almería,Adri Embarba,ESP,"FW,MF",31,1992,27.5,1316,18,195,514,633,65,1315,119,46,38.7,65,54.6,749,4984,2406,94,55,24,79,35,821,167
ESP-La Liga,2023-24,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",24,1999,10.8,708,28,186,340,184,11,708,14,1,7.1,12,85.7,353,1565,758,22,15,3,16,4,410,62
ESP-La Liga,2023-24,Almería,Aleksandar Radovanović,SRB,DF,29,1993,6.3,279,68,177,100,3,2,279,1,0,0.0,1,100.0,110,401,142,0,0,0,2,0,152,1
ESP-La Liga,2023-24,Almería,Anthony Lozano,HON,FW,30,1993,8.6,244,15,27,126,91,22,244,17,4,23.5,11,64.7,130,676,287,12,10,5,25,16,172,24
ESP-La Liga,2023-24,Almería,Arnau Puigmal,ESP,"FW,DF",22,2001,2.8,122,2,20,56,48,2,122,7,2,28.6,4,57.1,76,437,210,4,3,0,7,2,78,17
ESP-La Liga,2023-24,Almería,Bruno Langa,MOZ,DF,25,1997,9.1,504,45,210,209,88,6,504,21,13,61.9,5,23.8,243,1250,720,14,10,2,5,3,265,30
ESP-La Liga,2023-24,Almería,Chumi,ESP,DF,24,1999,27.0,1462,230,830,582,58,11,1462,6,5,83.3,1,16.7,830,3815,1960,11,10,0,14,4,944,4
ESP-La Liga,2023-24,Almería,César Montes,MEX,DF,26,1997,19.9,1156,148,650,468,43,23,1156,3,3,100.0,0,0.0,593,2990,1805,7,5,1,7,1,730,2
ESP-La Liga,2023-24,Almería,Diego Mariño,ESP,GK,33,1990,1.0,32,26,32,0,0,0,32,0,0,,0,,22,94,53,0,0,0,0,0,20,0
ESP-La Liga,2023-24,Almería,Dion Lopy,SEN,MF,21,2002,21.3,1108,65,310,656,162,8,1108,48,29,60.4,15,31.3,652,4181,1705,23,23,2,23,15,695,19
ESP-La Liga,2023-24,Almería,Fernando,ESP,GK,33,1990,4.0,169,138,167,2,0,0,169,0,0,,0,,93,536,339,0,0,0,0,0,74,0
ESP-La Liga,2023-24,Almería,Gonzalo Melero,ESP,"MF,FW",29,1994,12.3,580,20,94,357,133,28,580,18,7,38.9,10,55.6,335,1739,919,23,11,3,26,13,407,33
ESP-La Liga,2023-24,Almería,Houboulang Mendes,GNB,DF,25,1998,4.4,236,21,94,117,27,1,236,7,2,28.6,3,42.9,83,389,175,5,4,0,8,4,89,6
ESP-La Liga,2023-24,Almería,Ibrahima Koné,MLI,FW,24,1999,3.1,83,5,7,41,37,10,83,4,1,25.0,2,50.0,44,208,112,5,1,4,7,1,58,18
ESP-La Liga,2023-24,Almería,Iddrisu Baba,GHA,MF,27,1996,15.9,822,47,254,521,58,4,822,19,14,73.7,3,15.8,460,2217,844,1,3,0,18,7,482,5
ESP-La Liga,2023-24,Almería,Jonathan Viera,ESP,MF,33,1989,10.1,629,4,79,357,198,19,629,19,9,47.4,10,52.6,412,2015,1145,35,29,6,17,9,506,29
ESP-La Liga,2023-24,Almería,Kaiky,BRA,DF,19,2004,5.8,317,50,175,137,6,4,317,4,3,75.0,1,25.0,182,1023,683,4,0,0,1,0,200,1
ESP-La Liga,2023-24,Almería,Largie Ramazani,BEL,"FW,MF",22,2001,17.3,578,11,90,251,263,59,578,74,31,41.9,38,51.4,381,3109,1775,59,41,27,45,33,396,104
ESP-La Liga,2023-24,Almería,Lucas Robertone,ARG,MF,26,1997,26.5,1675,72,405,975,316,17,1675,21,8,38.1,9,42.9,873,4221,2061,31,27,4,27,16,1041,37
ESP-La Liga,2023-24,Almería,Luis Javier Suárez,COL,FW,25,1997,10.2,334,11,28,151,160,56,333,23,12,52.2,9,39.1,195,1501,685,30,12,15,30,10,229,53
ESP-La Liga,2023-24,Almería,Luka Romero,ARG,FW,18,2004,4.9,226,5,39,118,71,5,226,16,7,43.8,8,50.0,143,750,341,11,12,1,20,9,155,20
ESP-La Liga,2023-24,Almería,Luís Maximiano,POR,GK,24,1999,33.0,1355,1096,1336,19,0,0,1355,3,3,100.0,0,0.0,710,3504,2214,0,0,0,0,0,592,0
ESP-La Liga,2023-24,Almería,Lázaro,BRA,"FW,MF",21,2002,3.2,152,2,19,64,69,14,152,16,5,31.3,10,62.5,89,547,224,5,3,2,11,5,100,34
ESP-La Liga,2023-24,Almería,Léo Baptistão,BRA,FW,30,1992,20.4,793,23,123,416,267,67,793,28,12,42.9,14,50.0,399,2131,1118,26,21,8,38,17,532,88
ESP-La Liga,2023-24,Almería,Marc Pubill,ESP,DF,20,2003,20.9,1250,112,435,555,278,33,1250,65,33,50.8,23,35.4,580,3384,1864,59,42,7,33,14,645,85
ESP-La Liga,2023-24,Almería,Marciano Tchami,GNB,"FW,MF",19,2004,0.5,28,0,2,17,9,0,28,0,0,,0,,12,87,24,1,1,0,1,1,16,3
ESP-La Liga,2023-24,Almería,Marcos Peña,ESP,MF,18,2005,4.9,274,15,104,162,11,1,274,1,0,0.0,1,100.0,103,443,140,0,2,0,3,3,158,0
ESP-La Liga,2023-24,Almería,Marko Milovanović,SRB,"FW,MF",19,2003,3.4,102,5,13,56,34,13,102,4,1,25.0,2,50.0,51,177,59,2,1,1,6,4,66,13
ESP-La Liga,2023-24,Almería,Paco Sanz,ESP,DF,18,2004,0.3,15,3,11,4,0,0,15,0,0,,0,,5,12,11,0,0,0,1,0,8,0
ESP-La Liga,2023-24,Almería,Rachad Fettal,MAR,FW,18,2005,0.2,9,0,1,6,2,1,9,0,0,,0,,4,3,2,0,0,0,1,0,6,2
ESP-La Liga,2023-24,Almería,Sergio Akieme,ESP,DF,25,1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45.0,498,2520,1141,27,23,2,15,16,525,72
ESP-La Liga,2023-24,Almería,Sergio Arribas,ESP,"MF,FW",21,2001,22.7,1010,13,118,498,411,78,1010,49,16,32.7,31,63.3,554,3041,1685,56,39,12,40,16,648,94
ESP-La Liga,2023-24,Almería,Srđan Babić,SRB,DF,27,1996,1.0,69,5,29,38,2,1,69,0,0,,0,,44,285,199,1,1,0,0,0,49,0
ESP-La Liga,2023-24,Almería,Álex Centelles,ESP,DF,25,1997,10.9,635,39,208,284,149,8,635,9,4,44.4,5,55.6,291,1225,687,16,13,3,10,6,357,53
ESP-La Liga,2023-24,Almería,Édgar González,ESP,"DF,MF",26,1997,28.0,1671,258,905,706,67,25,1671,11,7,63.6,3,27.3,829,3736,1951,6,7,0,14,5,1034,6
ESP-La Liga,2023-24,Athletic Club,Adu Ares,ESP,FW,21,2001,2.9,147,1,21,63,70,6,147,24,15,62.5,7,29.2,103,881,361,13,3,5,8,4,110,39
ESP-La Liga,2023-24,Athletic Club,Aingeru Olabarrieta,ESP,FW,17,2005,0.1,6,0,0,1,5,0,6,0,0,,0,,3,33,26,1,0,0,0,0,4,0
ESP-La Liga,2023-24,Athletic Club,Aitor Paredes,ESP,DF,23,2000,30.0,1799,158,915,852,41,24,1799,3,2,66.7,1,33.3,1004,5116,2607,6,2,0,9,2,1167,1
ESP-La Liga,2023-24,Athletic Club,Ander Herrera,ESP,MF,33,1989,11.4,903,37,171,525,220,13,903,10,5,50.0,4,40.0,477,1767,839,11,21,0,6,6,600,17
ESP-La Liga,2023-24,Athletic Club,Asier Villalibre,ESP,FW,25,1997,5.7,179,6,18,64,98,31,179,11,4,36.4,6,54.5,105,389,195,6,5,6,12,11,143,29
ESP-La Liga,2023-24,Athletic Club,Beñat Prados,ESP,"MF,DF",22,2001,16.1,990,30,156,614,233,14,990,19,12,63.2,6,31.6,536,2501,1229,23,21,1,19,19,613,30
ESP-La Liga,2023-24,Athletic Club,Dani García,ESP,MF,33,1990,8.3,398,21,81,258,64,7,398,3,3,100.0,0,0.0,176,711,287,3,6,0,4,2,228,4
ESP-La Liga,2023-24,Athletic Club,Daniel Vivian,ESP,DF,24,1999,32.0,2032,161,950,1021,75,27,2032,10,5,50.0,4,40.0,1128,5846,3422,23,10,2,27,5,1206,4
ESP-La Liga,2023-24,Athletic Club,Gorka Guruzeta,ESP,FW,26,1996,24.6,923,22,77,456,399,110,922,33,19,57.6,13,39.4,446,1830,688,18,13,4,62,29,623,102
ESP-La Liga,2023-24,Athletic Club,Iker Muniain,ESP,"MF,FW",30,1992,6.6,479,4,32,256,192,24,479,31,13,41.9,16,51.6,304,1446,659,18,13,4,16,11,367,50
ESP-La Liga,2023-24,Athletic Club,Imanol,ESP,DF,23,2000,5.8,395,17,88,219,94,4,395,5,4,80.0,1,20.0,181,901,473,13,11,2,5,3,204,15
ESP-La Liga,2023-24,Athletic Club,Iñaki Williams,GHA,FW,29,1994,31.6,1435,47,134,463,859,175,1435,120,49,40.8,60,50.0,907,5587,2913,114,66,51,86,48,1063,333
ESP-La Liga,2023-24,Athletic Club,Iñigo Lekue,ESP,DF,30,1993,22.2,1476,82,427,779,285,9,1476,44,18,40.9,25,56.8,706,3819,1993,44,30,1,17,9,825,35
ESP-La Liga,2023-24,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,29,1993,23.2,1407,30,194,883,345,7,1407,33,22,66.7,8,24.2,782,3740,1637,26,29,1,24,29,948,36
ESP-La Liga,2023-24,Athletic Club,Julen Agirrezabala,ESP,GK,22,2000,2.6,104,84,104,0,0,0,104,0,0,,0,,58,348,192,0,0,0,0,0,42,0
ESP-La Liga,2023-24,Athletic Club,Mikel Jauregizar,ESP,MF,19,2003,1.7,101,3,20,43,38,0,101,3,1,33.3,2,66.7,48,220,104,2,1,0,4,4,60,3
ESP-La Liga,2023-24,Athletic Club,Mikel Vesga,ESP,MF,30,1993,17.0,1035,49,201,645,196,22,1033,12,2,16.7,10,83.3,504,2129,1002,10,13,1,18,11,655,29
ESP-La Liga,2023-24,Athletic Club,Nico Williams,ESP,FW,21,2002,25.1,1203,14,112,372,746,148,1203,193,86,44.6,92,47.7,800,6467,3736,143,77,62,76,51,849,302
ESP-La Liga,2023-24,Athletic Club,Oihan Sancet,ESP,MF,23,2000,21.9,1058,6,67,497,516,83,1057,56,26,46.4,23,41.1,694,4286,2121,76,68,14,78,43,839,157
ESP-La Liga,2023-24,Athletic Club,Peru Nolaskoain,ESP,"DF,MF",24,1998,0.1,10,0,6,5,0,0,10,0,0,,0,,4,19,1,0,0,0,0,0,5,0
ESP-La Liga,2023-24,Athletic Club,Raúl García,ESP,"FW,MF",37,1986,4.7,202,10,28,96,80,22,202,5,2,40.0,3,60.0,95,390,124,4,7,2,9,5,146,15
ESP-La Liga,2023-24,Athletic Club,Unai Gómez,ESP,MF,20,2003,9.7,366,8,38,176,160,26,366,29,12,41.4,14,48.3,221,1400,649,20,17,2,14,22,244,48
ESP-La Liga,2023-24,Athletic Club,Unai Simón,ESP,GK,26,1997,35.4,1301,968,1293,8,0,0,1301,0,0,,0,,697,3823,2165,0,0,0,0,0,549,0
ESP-La Liga,2023-24,Athletic Club,Yeray Álvarez,ESP,DF,28,1995,12.8,810,52,344,440,31,7,810,3,2,66.7,1,33.3,428,2689,1856,13,9,1,8,0,485,2
ESP-La Liga,2023-24,Athletic Club,Yuri Berchiche,ESP,DF,33,1990,21.4,1504,78,437,754,327,34,1504,13,9,69.2,2,15.4,767,3300,1786,36,31,5,12,10,843,77
ESP-La Liga,2023-24,Athletic Club,Álex Berenguer,ESP,FW,28,1995,17.7,818,17,87,259,480,74,816,61,21,34.4,35,57.4,442,2812,1430,61,35,23,42,36,522,143
ESP-La Liga,2023-24,Athletic Club,Óscar de Marcos,ESP,DF,34,1989,25.1,1764,60,375,868,529,34,1764,22,6,27.3,16,72.7,871,3548,2012,51,40,6,15,6,1027,125
ESP-La Liga,2023-24,Atlético Madrid,Abdellah Raihani,MAR,FW,19,2004,0.1,1,0,0,0,1,1,1,0,0,,0,,1,0,0,0,0,0,1,0,1,1
ESP-La Liga,2023-24,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",32,1991,29.4,1654,35,215,769,681,113,1650,38,22,57.9,15,39.5,839,3612,1843,43,36,7,40,26,1194,196
ESP-La Liga,2023-24,Atlético Madrid,Arthur Vermeeren,BEL,MF,18,2005,1.8,115,7,25,73,20,1,115,1,0,0.0,1,100.0,68,332,128,2,0,0,6,2,75,7
ESP-La Liga,2023-24,Atlético Madrid,Axel Witsel,BEL,DF,34,1989,30.9,2107,283,1091,950,71,22,2107,8,5,62.5,3,37.5,1364,6335,3215,17,16,0,14,6,1467,8
ESP-La Liga,2023-24,Atlético Madrid,César Azpilicueta,ESP,DF,33,1989,15.8,1168,83,381,613,179,12,1168,6,1,16.7,3,50.0,624,3341,2153,39,22,3,10,6,752,39
ESP-La Liga,2023-24,Atlético Madrid,Gabriel Paulista,BRA,DF,32,1990,4.5,319,47,201,116,3,3,319,0,0,,0,,187,1033,500,1,0,0,0,1,212,0
ESP-La Liga,2023-24,Atlético Madrid,Jan Oblak,SVN,GK,30,1993,38.0,1094,1014,1094,0,0,0,1094,1,1,100.0,0,0.0,557,2965,1789,0,0,0,1,1,425,0
